Date,Close,NEWS_SENTIMENT_DAILY_AVG,NEWS_POS_COUNT,NEWS_NEG_COUNT,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_POS_COUNT,TWITTER_NEG_COUNT,NEWS_HEAT_READ_DAVG,NEWS_PUBLICATION_COUNT,TWITTER_PUBLICATION_COUNT
24/06/2019,1913.9,0.0927,15,3,0.0031,31,27,1,486,751
21/06/2019,1911.3,0.0931,43,8,-0.0059,66,74,0,826,1528
20/06/2019,1918.19,0.1749,61,8,0.0074,74,61,0,985,1572
19/06/2019,1908.79,0.2015,49,7,0.006,69,53,0,846,1399
18/06/2019,1901.37,0.1073,41,16,0.0044,63,63,0,870,1356
17/06/2019,1886.03,0.0872,12,9,-0.0063,25,41,0,416,712
14/06/2019,1869.67,0.0735,36,31,-0.0176,75,130,0,907,1533
13/06/2019,1870.3,0.2133,67,34,-0.0118,70,102,0,1021,1508
12/06/2019,1855.32,0.2213,106,29,0.0143,147,103,0,1271,2079
11/06/2019,1863.7,0.3299,92,17,0.0152,161,90,0,1147,2278
10/06/2019,1860.63,0.0834,18,11,0.0047,45,32,1,537,964
07/06/2019,1804.03,0.035,59,14,-0.0037,48,71,0,1216,1767
06/06/2019,1754.36,0.1622,134,20,-0.003,65,85,0,1514,2428
05/06/2019,1738.5,0.1596,51,15,0.0066,86,90,0,1101,2041
04/06/2019,1729.56,0.1858,64,32,-0.0318,126,238,1,1382,2715
03/06/2019,1692.69,0.201,41,6,-0.0082,39,58,2,571,938
31/05/2019,1775.07,0.0528,35,12,0.0199,141,76,0,865,1720
30/05/2019,1816.32,0.0852,68,21,0.006,80,58,0,1032,1567
29/05/2019,1819.19,0.0532,82,49,0.0037,79,59,0,1535,1810
28/05/2019,1836.43,0.1143,24,3,0.0047,36,25,1,571,711
27/05/2019,,0.0416,7,1,-0.0026,17,23,0,291,570
24/05/2019,1823.28,0.0525,38,17,-0.0076,51,100,0,1101,1893
23/05/2019,1815.48,0.0344,30,24,-0.012,76,163,0,937,2292
22/05/2019,1859.68,0.1602,51,7,-0.0055,78,87,0,1037,1961
21/05/2019,1857.52,0.1457,34,10,-0.0034,54,59,0,843,1483
20/05/2019,1858.97,0.1524,11,1,0.0033,31,28,0,415,747
17/05/2019,1869,0.1829,77,9,0.0182,209,79,0,1526,2562
16/05/2019,1907.57,0.1938,74,13,0.0493,350,86,0,1271,2655
15/05/2019,1871.15,0.2481,83,13,-0.0041,72,78,0,1322,1923
14/05/2019,1840.12,0.2094,102,18,-0.0056,92,140,0,1356,2842
13/05/2019,1822.68,0.0542,24,7,-0.006,27,55,0,559,1005
10/05/2019,1889.98,-0.0912,40,54,-0.0085,96,119,0,1608,2400
09/05/2019,1899.87,0.1158,58,38,-0.0312,42,174,0,874,1684
08/05/2019,1917.77,0.1401,43,7,-0.011,57,108,0,755,1751
07/05/2019,1921,0.0603,29,14,-0.0074,65,81,0,847,1688
06/05/2019,1950.55,0.1188,18,8,-0.0119,51,72,0,503,1271
03/05/2019,1962.46,0.1819,73,14,0.0186,194,90,2,1046,2951
02/05/2019,1900.82,0.106,51,14,-0.0042,69,68,0,852,1663
01/05/2019,1911.52,0.1734,78,15,0.0103,119,89,0,862,1828
30/04/2019,1926.52,0.1663,86,13,-0.0114,103,137,0,1074,1894
29/04/2019,1938.43,0.4706,58,3,0.0099,65,39,0,556,1011
26/04/2019,1950.63,0.7374,355,23,0.1069,918,345,2,2521,6498
25/04/2019,1902.25,0.2542,87,10,0.0135,167,97,2,1178,2263
24/04/2019,1901.75,0.5766,147,7,0.0166,230,67,1,1031,2694
23/04/2019,1923.77,0.4197,78,7,0.0145,126,58,1,922,1673
22/04/2019,1887.31,0.1652,17,10,0.0039,28,28,0,377,747
19/04/2019,,0.5834,112,11,-0.0049,71,82,0,1154,1653
18/04/2019,1861.69,0.3099,114,9,-0.0116,85,126,0,1263,1872
17/04/2019,1864.82,0.1274,39,7,0.013,128,89,0,801,1919
16/04/2019,1863.04,0.1707,41,10,-0.0139,91,113,0,935,1605
15/04/2019,1844.87,0.0826,19,3,0.0055,47,49,0,563,1002
12/04/2019,1843.06,0.1659,169,52,-0.0057,134,169,0,1874,3237
11/04/2019,1844.07,0.2505,150,42,-0.0038,84,120,1,1804,2624
10/04/2019,1847.33,0.1748,51,3,0.0098,92,73,0,930,1678
09/04/2019,1835.84,0.4663,72,5,0.0135,131,94,0,963,1997
08/04/2019,1849.86,0.0547,19,6,0.0043,42,35,0,625,911
05/04/2019,1837.28,0.1867,174,54,0.0042,150,121,1,2414,3486
04/04/2019,1818.86,0.1154,78,22,0.026,248,156,2,1360,2613
03/04/2019,1820.7,0.4403,74,16,-0.0259,101,181,1,864,1996
02/04/2019,1813.98,0.4246,83,25,-0.0369,156,183,0,1050,1972
01/04/2019,1814.19,-0.0549,26,25,0.0112,70,39,1,669,1153
29/03/2019,1780.75,0.3431,61,6,0.0181,144,64,0,809,1948
28/03/2019,1773.42,0.1335,49,2,0.0118,123,111,0,826,2144
